Sno,Dept,Comments
1941,Dept 8,"When I open RICH UI in Google chrome, I can't use Google chrome at all other than RICH UI. I've to depend on Internet explorer if I've to open web browser."
1942,Dept 9,Entire training was a value addition and specially Pawan conducted the training in very enthusiastic and made that sure all candidates participated actively.
1943,Dept 10,The trainer was good. She has covered all the basic Concepts all was always there to solve the queries and doubts. Strongly recommended to go for this course
1944,Dept 11,Training is good. module contain is very useful for us and it will help to increase our knowledge. trainer are putting more efforts in training. Appreciated!!
1945,Dept 12,Training is good. module contain is very useful for us and it will help to increase our knowledge. trainer are putting more efforts in training. Appreciated!!
1946,Dept 3,The most valuable is graphics and presentation.Also I would encourage presenter to use more activity in courses it would really help in developing understanding.
1947,Dept 4,"I was able to observe how the trainor was able to present/facilitate each discussion topic, which would be useful for me when I conduct my own induction training."
1948,Dept 5,"I was able to observe how the trainor was able to present/facilitate each discussion topic, which would be useful for me when I conduct my own induction training."
1949,Dept 6,"I was able to observe how the trainor was able to present/facilitate each discussion topic, which would be useful for me when I conduct my own induction training."
1950,Dept 7,"I can understand due to COVID - 19 Pandamic it is really challenging for Virtual trainings, but the trainers are managed it very well, and it is really appreciated."
1951,Dept 8,"I can understand due to COVID - 19 Pandamic it is really challenging for Virtual trainings, but the trainers are managed it very well, and it is really appreciated."
1952,Dept 9,The EMS workshop was very useful in terms of daily BAU. This has definitely helped in understanding the EMS and the checks to be done before validating an exception
1953,Dept 10,"There is no such negative things , each and every topic were much needed and it was clear , clean and things were in detail. This was one of the best training session."
1954,Dept 11,"The content and the way it was presented by the Instructor ensured that all of us in the session understood the topics, the instructors were helpful in clearing doubts."
1955,Dept 12,"The training session was encouraging and , the trainer has tried her best to make session participative for all the participants,quick recap of the previous day was best"
1956,Dept 1,Most valuable part of the training was active participation and interacting session has made the learning process full of fun and makes easy for us to learn the concepts.
1957,Dept 2,"Though it was webex session, it was very interactive. Trainer was very good and ensured all questions were answered. The way trainer presented the training was appreciable"
1958,Dept 3,Trainer was well versed with the topic and paused herself by giving opportunities to speak by the participants. The complex events were explained with appropriate examples.
1959,Dept 4,I already use Enterprise Rich UI V15.6 and the new version seems to be about the same. I think this course would most valuable only to anyone still using the legacy version .
1960,Dept 5,Rate of return calculation and Non Base CCY class expense calculation - I had different perception which was wrong. Post this session I got better understanding of the concept
1961,Dept 6,The most valuable part of this training was the teach back session. The interactions we had along with session was really good and it has improved my knowledge of the subject.
1962,Dept 7,It was very helpful session has it was quite easy to understand as the triner has given very good examples while training which makes easy to understand the topic. Thank you Soumya.
1963,Dept 8,I really enjoyed this training as this is such an informative and interactive virtual training. I have learned a lot and I was able to see financial concepts in a bigger perspective.
1964,Dept 9,I really enjoyed this training as this is such an informative and interactive virtual training. I have learned a lot and I was able to see financial concepts in a bigger perspective.
1965,Dept 10,I really enjoyed this training as this is such an informative and interactive virtual training. I have learned a lot and I was able to see financial concepts in a bigger perspective.
1966,Dept 11,"Everything about it is very knowledgeable and infomative. I was able to see in a wider perspective the end-to-end process of FA, and most impoatantly the concept behind is very notable."
1967,Dept 12,The least valuable part was absolute retention of topics due to fast pace e learning. The retention could be better if the topics of e learning had been given enough time for completion
1968,Dept 1,"In case, simulation could be provided to participants then the effectiveness would have been better, as there were many things were shared which people can forget if not done on its own."
1969,Dept 2,The most valuable part of the training was the Ice breaker sessions and active participation that was encouraged by our instructor Poonam. It made virtual learning a lot more simplified!
1970,Dept 3,We had to extend another 30 minutes to cover all the topics. I understand the reason why we ha dto extedn but it would have been better if everything was covered during the 4-hr session.
1971,Dept 4,"This is more of an issue of location, but starting my day later at around 12 pm and ending around 8:30 for almost 2 weeks was a bit tiring. However, I understand that there was no choice."
1972,Dept 5,These Training sessions are helpful in building the knowledge base that are required to perform daily activities. Most importanly it helped me to revisit the basics that I had long forgotten.
1973,Dept 6,"Well delivered training module, the instructor had good knowledge and command over the topic. Given the work from home situation the training was well executed through webex. Kudos to training team"
